;2014;2014;2015;2015;2016;2016;2017;2017;2018;2018;2019;2019;2020;2020;2021;2021;2022;2022;2023;2023
Art des Gutes;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern
Einheit;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t
  Mahl-u.Schälmühlenerz.,Stärke,Stärkeerz.,Futterm.;1795468;2094276;1529834;1982279;1379238;2195194;1407826;2187532;1369911;2245241;1766710;2037187;1594067;2457453;1436353;1936630;1674428;2123071;1538756;2225806
  Getränke;917269;1743423;787623;1815150;698595;1474434;639860;1306245;601666;1189093;597586;1320957;564117;1197975;615210;1354205;587629;1293503;448574;1029290
  Sonst. Nahrungsmittel a.n.g. u. Tabakerzeugnisse;1982238;2112407;1455914;1722064;898167;913705;924204;975645;949672;1098898;966404;1041013;934973;1124538;953145;1099339;1053315;1303299;914610;1222912
  Sonst. Nahrungsmittel u. Tabakerz. im Paketdienst;1066;2935;1041;2877;1417;1234;554;665;176;235;2028;2028;1966;1966;2081;2081;2571;2571;2432;2432
Textilien, Bekleidung, Leder und Lederwaren;2728776;1577396;2440284;1035182;2262061;1006132;2321928;1277313;2074162;881273;1876982;507898;1412657;475119;1788026;593156;1882016;491715;1864444;397358
  Textilien;1303722;959757;1319188;694547;1274080;744972;1329064;997119;1050992;657797;778243;308047;586205;294086;839068;375425;745878;288093;693929;270612
  Bekleidung und Pelzwaren;1194973;523367;1046688;290706;940110;229928;906376;238927;854537;197906;770042;156980;636021;151698;691294;182980;811396;173417;828217;99393
  Leder und Lederwaren;230081;94272;74408;49929;47871;31232;86488;41267;168633;25570;328697;42871;190431;29335;257664;34751;324742;30205;342299;27353
Holzwaren, Papier, Pappe, Druckerzeugnisse;10272955;6396329;10882454;10000709;10546482;11737028;10364256;11104063;10300695;10717607;10577806;12412726;8765606;10086815;8361675;10784021;7805320;10194355;6574850;9490171
  Holz-, Kork- und Flechtwaren (ohne Möbel);2727143;2656132;3165782;4253572;3124079;5066716;3229193;5131722;2577840;4630416;3077481;6105309;2223021;4927974;2199485;5526693;2302346;6065055;1625140;4937837
  Papier, Pappe und Waren daraus;7302945;3609192;7614578;5648167;7353754;6609258;7068083;5929588;7660318;6056479;7393636;6286918;6500833;5138054;6103034;5251084;5459924;4125390;4892476;4543655
  Verlags- u.Druckerz.,besp.Ton-,Bild- u.Datenträger;242867;131005;102094;98970;68649;61054;66980;42753;62537;30712;106689;20499;41752;20787;59156;6244;43050;3910;57234;8679
Kokerei- und Mineralölerzeugnisse;11517709;4965997;11665304;4502695;14063363;3908145;12499851;4426111;12385846;3738949;12408764;3857566;12075513;5358321;10977240;7007192;10104645;5864610;12044815;5014696
  Kokereierzeugnisse, Briketts u.ä.feste Brennstoffe;23107;25388;11974;27689;3917;38530;70112;15066;17208;8046;2907;18991;6052;12344;49120;87747;418186;127334;175069;83653
  Flüssige Mineralölerzeugnisse;10716667;4590335;11023434;4056611;13295622;3269682;11781468;3573660;11638249;3083695;11906649;3313388;11589736;4859859;10556840;6152347;9421869;5280965;11561854;4654770
  Gasförmige, verflüssigte,verdichtete Mineralölerz.;296303;30466;154837;33259;222141;30719;200111;11065;192997;10100;209484;94657;238595;175068;135414;389367;177317;392984;180718;189062
  Feste oder wachsartige Mineralölerzeugnisse;481632;319808;475059;385136;541683;569214;448160;826320;537392;637108;289724;430530;241129;311050;235866;377731;87272;63326;127173;87211
Chemische Erzeugnisse etc.;11632045;17406770;10066603;15536472;9968127;14225051;9808650;14519645;8986286;14130089;10374541;13920544;8335450;13620053;9492124;13547261;9286447;12211509;8410256;11663563
  Chemische Grundstoffe, mineralisch;3434822;5287898;3062708;4831962;2832679;5024967;2786826;5177307;2580451;4710725;2596165;2213039;2098348;3045041;2825053;3332951;2446535;2737074;1569594;2072727
  Chemische Grundstoffe, organisch;1509879;1654951;1100790;1374889;1145150;1193670;1090865;1274888;1033328;1391649;1036243;1551239;922043;1426764;1119782;1500345;1194386;1122379;1431124;1113951
  Stickstoffverbind. u. Düngemittel (oh.nat.Düngem.);2340645;4041241;2174299;4330632;2355964;4652061;2132774;4851727;1831698;5101834;1870218;5179853;1906304;5631709;1541342;5402389;1457930;4748379;1505761;4890819
  Basiskunststoffe u.synth.Kautschuk, i.Primärformen;1156705;1453714;1073556;1179227;1228702;967151;1234004;899225;1053950;835774;1010790;1101060;852492;942484;1085523;999860;1105999;1173974;880204;899297
  Pharmazeutische und parachemische Erzeugnisse;1424398;2430759;1148651;1814549;994465;1145101;1074659;1330348;1035544;1292913;2401506;2973759;1374058;1829430;1269673;1457101;1424595;1554918;1486469;1701120
  Gummi- oder Kunststoffwaren;1681702;2354317;1497829;1917899;1408769;1218000;1486079;972379;1449089;791009;1459619;901594;1182205;744626;1650751;854615;1657002;874785;1537103;985648
